Global Property ID;Source Property ID;Global Property Name;Global Chain Code;Property Address 1;Property Address 2;Primary Airport Code;Property City Name;Property State/Province;Property Zip/Postal;Property Country Code;Property Phone Number;Property Fax Number;Sabre Property Rating;Property Latitude;Property Longitude;Source Group Code
102415703;397901;Quest Watergardens;GD;451 Kings Rd;;MEL;Taylors Lake;VIC;3038;AU;61-3-73036000;;4.0;-37.698692;144.779988;SABRE_GDS
100202158;316455;Spicers Sangoma Retreat;GD;70 Grandview Lane;;SYD;Bowen Mountain;NSW;2753;AU;61-2-45722592;;5.0;-33.582561;150.633394;SABRE_GDS
102643717;607061;Kula Wollongong;GD;35 Atchinson St;;WOL;Wollongong;NSW;2500;AU;61-2-72537020;;4.0;-34.428444;150.890673;SABRE_GDS
100204750;317773;Rockingham Apartments-spinnakers;GD;61 Rockingham Beach Rd;;PER;Rockingham;WA;6168;AU;61-419444787;;4.0;-3.227323;1.157343;SABRE_GDS
100223614;40166;Sandown Regency;GD;447 Princess Highway;;MEL;Noble Park;VIC;03174;AU;61-395-483444;61-395-482520;3.0;-37.955489;145.180291;SABRE_GDS
101109950;602881;291 On King;GD;;;NTL;Newcastle;NSW;2300;AU;1800 291 291;1800 291 291;;-32.928491;151.768017;SABRE_GDS
100244936;413465;Biloela Countryman;GD;75 83 Burnett Highway;;ROK;Biloela;QLD;4564;AU;61-7-49921488;6-174-992-2445;;-2.440983;150.517291;SABRE_GDS
100183256;305489;Discovery Holiday Parks Clare;GD;Lot 136 Main North Rd;;ADL;Clare;SA;5453;AU;61-8-88422724;61-8-8842-3447;4.0;-33.841195;138.616289;SABRE_GDS
100027072;146667;Avonmore On The Park;GD;34 The Avenue;;SYD;Randwick;NSW;2031;AU;61-293-999388;61-293-999488;4.0;-3.391239;15.124129;SABRE_GDS
100315780;45095;Rowville International Hotel;GD;1233 Stud Rd;;MEL;Rowville;VIC;3178;AU;61-3 9764 5050;61-3 9764 5148;;-3.793035;14.523305;SABRE_GDS
100913591;327867;Astra Macquarie Park;GD;1 Saunders Close;;SYD;Macquarie Park;NSW;2113;AU;61-419-635-822;;3.0;-33.779323;151.115244;SABRE_GDS
100632449;606422;Premier Mill Hotel;GD;;;PER;Katanning;WA;6317;AU;61-08-65003950;;;-3.369118;117.555082;SABRE_GDS
100218058;38292;Quest Savoy;GD;38 Elizabeth Street;;HBA;Hobart;TAS;7000;AU;61-3-62202300;61-3-62240997;4.0;-4.288232;14.732895;SABRE_GDS
100394406;53821;Quest Trinity House;GD;149 Brooker Avenue;;HBA;Hobart;TAS;7000;AU;61362369656;61362369655;;-4.287319;1.473259;SABRE_GDS
100055094;186881;Ikon Hotel;GD;22 Mount St;;BWT;Burnie;TAS;07320;AU;61-364-324566;61-364-319116;4.0;-41.050899;145.905278;SABRE_GDS
100010974;118002;Kennedy Drive Airport Motel;GD;203 Kennedy Drive;;OOL;Tweed Heads;NSW;2485;AU;61-7-55369288;;4.0;-2.818752;15.351488;SABRE_GDS
100372708;47903;Heritage Motor Inn Corowa;GD;25 Edward St;;CWW;Corowa;NSW;2646;AU;61-2-60331800;61-2-60331800;;-36.001838;146.386436;SABRE_GDS
100054350;18617;Zebra Motel Coffs Harbour;GD;27 Grafton Street;;CFS;Coffs Harbour;NSW;2444;AU;61-2-66521588;;3.0;-30.299941;153.111632;SABRE_GDS
100262110;284799;Discovery Parks - Emerald Beac;GD;73 Fisherman's Drive;;CFS;Emerald Beach;NSW;2456;AU;61-2-66561521;;;-3.016792;15.318757;SABRE_GDS
100591768;607870;Discovery Resorts - Lake Argyl;GD;525 Lake Argyle Road;;KNX;Lake Argyle;WA;6743;AU;61-8-91687777;;;-16.112739;1.287403;SABRE_GDS
100249048;601730;Reflections Seal Rocks - Holid;GD;;;NTL;Seal Rocks;NSW;2423;AU;61-2-49976164;61-2-49976164;3.0;-3.243574;15.253247;SABRE_GDS
100448078;601651;Reflections Bonny Hills - Holi;GD;920 Ocean Drive;;PQQ;Bonny Hills;NSW;2445;AU;61-2-65855276;;3.0;-31.591759;152.840118;SABRE_GDS
102475925;603803;Ferntree Rainforest Lodge;GD;36 Camelot Close;;CNS;Cape Tribulation;QLD;4873;AU;61-7-40980000;;3.0;-1.608829;14.546038;SABRE_GDS
101082040;601244;Quest Woolooware Bay;GD;457 Captain Cook Drive;;SYD;Woolooware;NSW;2230;AU;1800-334-033;;5.0;-34.039469;15.114129;SABRE_GDS
102479515;604219;Urban Rest - Port Adelaide;GD;26 Jubilee St;;ADL;Port Adelaide;SA;5015;AU;61-2-72022327;;;-3.484269;13.850817;SABRE_GDS
100203544;317143;Quest Flemington Central;GD;1 Ascot Vale Road Flemington;;MEL;Melbourne;VIC;3031;AU;61 3 85958880;61 3 8595 8881;4.0;-3.778681;14.492134;SABRE_GDS
100233054;407077;Discovery Parks - Moama West;GD;;;ECH;Moama;NSW;2731;AU;61-3-54825500;61-3-54809358;3.0;-36.105232;144.730185;SABRE_GDS
100929091;327734;Holiday Inn Express Sydney Airport;HI;2 12 Sarah Street;;SYD;Mascot;NSW;2020;AU;61-02-92376900;61-02-92471875;4.0;-339.304;15.118566;SABRE_GDS
102266401;393307;Holiday Inn Express Melbourne Little Collins;HI;589-599 Little Collins Street;;MEL;Melbourne;VIC;3000;AU;61-3-90599059;;4.0;-3.781786;14.495508;SABRE_GDS
100042206;16865;Peppermill Inn;HO;7900 Goulburn Valley Highway;;MEL;Kialla;VIC;03631;AU;61-03-58231800;61-1-11111111;3.0;-3.641999;14.539137;SABRE_GDS
100581390;284833;Lanai Riverside Apartments;HO;20 River St;;MKY;Mackay;QLD;4740;AU;61-7-49574401;61-7-49574402;4.0;-21.138447;149.182059;SABRE_GDS
100021534;13949;Hotel Bruce County;HO;445 Blackburn Road;;MEL;Mt Waverley;VIC;03149;AU;61-3-88058400;61-3-98879284;4.0;-3.789288;14.514432;SABRE_GDS
100204175;284701;Mackay Seabreeze Apartments;HO;14 Scawfell Avenue;;MKY;Mackay;QLD;04740;AU;61-7-49551644;61-7-49551644;4.0;-2.107706;14.922561;SABRE_GDS
102497027;605181;M Hotel;HO;91 York Street;;MEL;Sale;VIC;03850;AU;61-3-51441444;61-3-51441444;4.0;-3.811067;14.706831;SABRE_GDS
100604160;327811;Margaret River Motel;HO;18 Farrelly Street;;BQB;Margaret River;WA;06285;AU;61-8-97573177;;;-3.395313;11.506994;SABRE_GDS
100231766;406361;North Pier Hotel;HO;5 The Esplanade;;MEL;Cowes;VIC;3922;AU;61-3-5951-4488;61-3-59522316;3.0;-38.448203;145.241503;SABRE_GDS
100234504;40785;Medusa;HO;267 Darlinghurst Road;;SYD;Sydney;NSW;02010;AU;61-2-93311000;61-2-93806901;4.0;-3.387769;15.122032;SABRE_GDS
100158144;283159;Yarra Gables Motel;HO;55 Maroondah Highway;;MEL;Healesville;VIC;03777;AU;61-3-59621323;61-3-59621323;4.0;-37.664059;145.513245;SABRE_GDS
100380700;376795;Cardwell At The Beach;HQ;215 Victoria St;;PMK;Cardwell;QLD;4849;AU;61740668500;61740668028;3.0;-182.577;14.601801;SABRE_GDS
100250946;379085;Beach House Motel;HQ;66 The Strand;;TSV;North Ward;QLD;4810;AU;61747211333;61747716893;;-1.924896;14.681344;SABRE_GDS
100380624;365788;Ultiqa Beach Haven At Broadbeach;HQ;1 Albert Avenue;;OOL;Broadbeach;QLD;4218;AU;61755703888;61755703175;4.0;-2.802766;15.343328;SABRE_GDS
100254710;341141;Charlton Apartments;HQ;451 452 Charlton Esplanade;;HVB;Hervey Bay;QLD;4655;AU;61741948200;6107 4125 1221;;-2.528378;15.287663;SABRE_GDS
100233948;343912;Tokemata Retreat;HQ;100 Cemetery Rd;;ABX;Cobram East;NSW;3644;AU;61358735332;61358735332;4.0;-359.585;14.571419;SABRE_GDS
100254724;362871;La Vida On Anzac;HQ;41 Anzac Avenue;;BNE;Redcliffe;QLD;4020;AU;61738974700;61738974799;4.0;-2.723107;15.311295;SABRE_GDS
102116767;350285;Darwin Waterfront Luxury Suites;HQ;19 Kitchener Street;;DRW;Darwin;NT;801;AU;61889218833;61889218833;4.0;-1.246719;13.084546;SABRE_GDS
100280204;380222;Redearth Motel;HQ;469 Argent Street;;BHQ;Broken Hill;NSW;2880;AU;61880885694;61.;4.0;-3.195551;1.414709;SABRE_GDS
100285482;385006;Moura Meridian Motel;HQ;29 Dawson Highway;;THG;Moura;QLD;4718;AU;61749976100;61749972902;4.0;-2.457082;14.997047;SABRE_GDS
100230374;336472;Outrigger Resort;HQ;2007 Gold Coast Highway;;OOL;Burleigh Heads;QLD;4220;AU;61755351111;61755763370;;-280.752;15.344535;SABRE_GDS
100250026;378758;Mcnevins Warwick Motel;HQ;;;OKY;Warwick;QLD;4370;AU;61746615588;61746615569;;-2.822589;15.201888;SABRE_GDS
100248674;357507;Beachside Apartments;HQ;537 Nepean Highway;;MBW;Bonbeach;VIC;3196;AU;61397726516;61397722532;4.0;-38.063469;145.119547;SABRE_GDS
100230892;380166;Ivory Palms Resort;HQ;73 Hilton Terrace;;MCY;Noosaville;QLD;4566;AU;61754731700;61754741922;4.0;-2.639842;1.530495;SABRE_GDS
100380684;385041;Tinaroo Resort;HQ;29 Palm Street;;CNS;Tinaroo;QLD;4872;AU;61740958912;61740958912;4.0;-1.716865;14.555149;SABRE_GDS
100243092;385246;Milton Village Motel;HQ;;;MYA;Milton;NSW;2538;AU;61244551944;61244553244;;-3.533134;15.045008;SABRE_GDS
100250660;379725;Buckaroo Motor Inn;HQ;86 Wood Street;;OKY;Warwick;QLD;4370;AU;61746613755;61746618099;;-2.821941;15.202325;SABRE_GDS
101086196;345339;Novotel Lake Crackenback Resort Spa;HQ;1650 Alpine Way Crackenback;;OOM;JINDABYNE;NSW;2627;AU;61264513000;61264561008;4.0;-36.439917;148.517944;SABRE_GDS
100274904;380456;Kallangur Motel;HQ;1517 Anzac Avenue;;BNE;Kallangur;QLD;4503;AU;61738862366;61738862366;3.0;-2.725049;15.300092;SABRE_GDS
100280068;352351;Esperance Beachfront Resort;HQ;19 The Esplanade;;EPR;Esperance;WA;6450;AU;61890712513;61890712325;;-3.385636;12.189765;SABRE_GDS
100247672;341636;Seascape Retreat;HQ;185 Old Coach Road;;ADL;Victor Harbor;SA;5211;AU;61409584901;61.;5.0;-3.546421;13.863072;SABRE_GDS
100584618;341978;Taihoa Holiday Units;HQ;24 Kennedy Esplanade;;PMK;Mission Beach;QLD;4852;AU;61740689446;61740689446;;-17.946913;146.091229;SABRE_GDS
100041227;369440;King Reef Resort;HQ;75 Jacobs Road;;CNS;Kurrimine Beach;QLD;4871;AU;61740656144;61740656172;;-1.778188;14.610118;SABRE_GDS
100032900;152306;Aspect Tamar Valley Resort;HQ;7 Waldhorn Drive.;;LST;Grindelwald;TAS;7277;AU;61363300400;61363301607;4.0;-4.135122;14.700475;SABRE_GDS
100258524;373300;Koola Beach Apartments Bargara;HQ;52 Johnson Street;;BDB;Bargara;QLD;4670;AU;61741301300;61741301301;;-2.481043;15.245648;SABRE_GDS
100383882;341775;Hermitage Motel;HQ;62 68 Maitland Road;;NTL;Muswellbrook;NSW;2333;AU;61265431188;61265431486;3.0;-3.227958;15.089922;SABRE_GDS
100234272;357015;Aza Motel;HQ;114 Keen Street;;LSY;Lismore;NSW;2480;AU;61266219499;61266221554;;-2.880891;1.532793;SABRE_GDS
100231540;342073;Nrma Sydney Lakeside Holiday Park;HQ;38 Lake Park Road;;SYD;North Narrabeen;NSW;2101;AU;612 9913 7845;612 9970 6385;;-3.370229;15.130466;SABRE_GDS
102173797;385313;Must At Coonawarra;HQ;126 Church St;;MGB;Penola;SA;5277;AU;61887373444;61887373644;;-3.736824;14.083925;SABRE_GDS
100243012;362193;Siesta Villa Motel;HQ;104 Glenlyon Street;;GLT;Gladstone;QLD;4680;AU;61749724922;61749724576;3.0;-2.384759;15.125641;SABRE_GDS
100251172;361263;Pavillions On 1770 Agnes Waters;HQ;4 Beaches Village Circuit;;GLT;Agnes Water;QLD;4677;AU;61749021000;61749747408;;-2.419697;151.898347;SABRE_GDS
100115445;341233;Regatta Riverfront Apartments;HQ;221 - 227 Gympie Terrace;;MCY;Noosa;QLD;4566;AU;61754490522;61754490909;4.0;-263.976;15.306444;SABRE_GDS
100234098;373501;The Seahorse Inn;HQ;;;MIM;Eden;NSW;2551;AU;61264961361;61264964211;4.0;-3.710509;14.987695;SABRE_GDS
100381106;348155;Heritage Resort Weipa;HQ;55 Commercial Avenue;;WEI;Weipa;QLD;4874;AU;61740698000;61740698011;3.0;-126.387;14.186362;SABRE_GDS
100242714;353693;Narellan Motor Inn;HQ;2-5 The Old Northern Road;;SYD;Narellan;NSW;2567;AU;61246461044;61246461429;3.0;-3.404016;15.073505;SABRE_GDS
100253422;361061;Fox Glenn Motor Inn;HQ;30 Nicholls Road;;MCY;Gympie;QLD;4570;AU;61754823199;61754828468;3.0;-2.621313;15.268066;SABRE_GDS
100233116;346664;Villa Della Rosa;HQ;5 Platt Place;;OOL;North Tamborine;QLD;4272;AU;61755453375;61755453375;;-2.791906;15.317426;SABRE_GDS
100233716;359284;Fiori Apartments;HQ;13 15 Hassall Street;;SYD;Parramatta;NSW;2150;AU;61298060800;61298060205;3.0;-3.381841;15.100862;SABRE_GDS
100249536;329080;Red Bridge Motor Inn;HQ;380 Nambour Connection Road;;MCY;Sunshine Coast;QLD;4559;AU;61754423933;61754423922;4.0;-2.665774;15.296918;SABRE_GDS
100500452;345410;Apartments Melbourne Domain - South Melbourne;HQ;50 Albert Road;;MBW;South Melbourne;VIC;3205;AU;61396003652;61396003652;;-3.783415;1.449714;SABRE_GDS
100284906;335805;Metro Motel;HQ;110 - 116 George Street;;ROK;Rockhampton;QLD;4700;AU;61748076550;61748076550;;-2.337956;15.050423;SABRE_GDS
100602832;341119;One Mile Beach Holiday Park;HQ;426 Gan Gan Road;;NTL;One Mile Beach;NSW;2316;AU;492 4982 1047;492 4982 2832;3.0;-32.776437;152.113515;SABRE_GDS
100255584;384955;Charm City Motel;HQ;23 Takalvan Street;;BDB;Bundaberg;QLD;4670;AU;61741522284;61741531506;;-2.487292;15.233296;SABRE_GDS
100380898;349096;Villawood Hotel;HQ;924 Woodville Road;;SYD;Villawood;NSW;2163;AU;61297244231;61297541480;3.0;-3.388604;1.509745;SABRE_GDS
100231632;341065;Apartments On Lygon;HQ;700 Lygon Street;;MBW;Melbourne;VIC;3054;AU;61393453888;61393491250;;-37.789617;144.969047;SABRE_GDS
100250190;351824;Apple And Grape Motel;HQ;63 Maryland Street;;LSY;Stanthorpe;QLD;4380;AU;61746811288;61746813855;;-286.589;15.193419;SABRE_GDS
100012320;12017;Intercontinental Brisbane;IC;190 Elizabeth Street;;BNE;Brisbane;;4001;AU;61-7-3234-2000;61-7-3231-3199;5.0;-2.746915;15.302704;SABRE_GDS
100041404;16768;Intercontinental Sanctuary Cove Resort;IC;Manor Circle Po Box 200.;;BNE;Sanctuary Cove;;4212;AU;61-7-5530 1234;61-7-5577-8234;5.0;-2.785299;15.335968;SABRE_GDS
102929311;613837;Hotel Indigo Little Collins;IN;288 Little Collins Street Blgd;;MEL;Melbourne;VIC;3000;AU;61-0421-089488;;;-37.814812;144.964863;SABRE_GDS
100213334;35334;Pelican Beach Resort Australis;IQ;;;CFS;Coffs Harbour;;2450;AU;02-66537000;02-66537066;;-30.247395;153.142821;SABRE_GDS
100413500;66964;Sheraton Motor Hotel;LM;40 Macleay St.;;SYD;Potts Point;;2011;AU;612-358-1955;612-356-2005;;-3.387052;15.122529;SABRE_GDS
102592345;606353;Punthill Tuggeranong;LM;205 Anketell Street;;CBR;Greenway;ACT;2900;AU;;;;-35.416192;149.068574;SABRE_GDS
100419488;71545;Punthill Essendon;LM;1142 Mount Alexander Rd;;MEL;Essendon;;3040;AU;61-3-99168888;61-3-99168899;;-3.774431;14.491056;SABRE_GDS
100179782;29957;Hotel Grand Chancellor Hobart;LM;1 Davey Street;;HBA;Hobart;TAS;07000;AU;61-3-62354535;61-3-62238175;;-4.288068;14.733368;SABRE_GDS
100132005;319958;Punthill Ivanhoe;LM;21 Bell Street;;MEL;Ivanhoe;VIC;3079;AU;61-03-9916-8888;61-03-9916-8899;4.0;-37.755;14.505612;SABRE_GDS
102587837;606355;Punthill Sunshine;LM;81 Derby Road;;MEL;Sunshine;VIC;3020;AU;;;;-37.790843;144.832897;SABRE_GDS
100009284;114962;Punthill South Yarra Grand;LM;7 Yarra Street;;MEL;SOUTH YARRA;;3141;AU;61 3 99168800;61-3-99168899;4.0;-3.783859;14.499258;SABRE_GDS
101082058;601022;Punthill Parramatta;LM;404 Church Street;;CDU;Parramatta;NSW;2150;AU;61 2 7813 4888;;;-3.380786;15.100553;SABRE_GDS
100541354;41043;The Peninsula;LM;53 South Perth Esplanade;;PER;South Perth;;6151;AU;61-8-93686688;61-8-93686689;4.0;-3.197061;11.585068;SABRE_GDS
100364656;4751;Melbourne Marriott Hotel;MC;;;MEL;Melbourne;VIC;3000;AU;61-3-96623900;61-3-96634297;5.0;-3.781018;14.496963;SABRE_GDS
100428708;81340;Oaks Brisbane Festival Suites;OH;108 Albert Street;;BNE;Brisbane;QLD;4000;AU;61-7-30278800;61-7-30128885;4.0;-274.716;15.302665;SABRE_GDS
100078730;21795;Oaks Sydney Hyde Park Suites;OH;38 College Street;;SYD;Sydney;NSW;2010;AU;61-2-83020890;61-2-93316022;4.0;-3.387659;15.121224;SABRE_GDS
100432948;85660;Oaks Ipswich Aspire Suites;OH;1 West Street Woodend;;BNE;Ipswich;QLD;4305;AU;61-7-32805100;61-7-32805199;4.0;-27.612723;152.757519;SABRE_GDS
100397556;55885;Oaks Waterfront Suites;OH;89 The Entrance Road Via Duffy.;;SYD;The Entrance;;02261;AU;61-2-43348000;61-2-43346094;4.0;-3.334023;15.149847;SABRE_GDS
100101438;23562;Oaks Oasis Resort;OH;2 Landsborough Parade;;MCY;Caloundra;QLD;4551;AU;61-7-54910333;61-7-54910300;4.0;-26.806792;153.122058;SABRE_GDS
102261525;392172;Oaks Geelong Suites;OH;10 Bellerine Street;;MEL;Geelong;VIC;03220;AU;61-1300-459044;;4.0;-38.147953;144.365844;SABRE_GDS
100472244;606675;Birch Motel Bowen;OI;18512 Bruce Highway;;ZBO;Bowen;QLD;4805;AU;61-07-47862499;;;-2.003178;14.821579;SABRE_GDS
100159590;284089;L Amor Holiday Apartments;OI;100 Scenic Highway;;ROK;YEPPOON;QLD;4703;AU;0061-7-49336255;0061-7-49336661;4.0;-2.315763;15.076735;SABRE_GDS
100475586;307589;Alice On Todd;OI;5 Strehlow Street;;ASP;ALICE SPRINGS;NT;0870;AU;0061-8-89538033;;3.0;-23.714722;133.875229;SABRE_GDS
102257181;391933;Springs Newcastle;OI;4 Tyrrell Street Wallsend;;NTL;NEWCASTLE;NSW;2287;AU;61-2-49499999;;;-3.290106;15.167092;SABRE_GDS
100243118;412526;Hunter Morpeth Motel And Villas;OI;28 Raworth Avenue.;;NTL;Raworth;NSW;2321;AU;61-249333750;6-124-933-5798;;-3.273005;15.161508;SABRE_GDS
100420052;394228;Beachside Motor Inn;OI;298 Charlton Esplanade;;HVB;PIALBA;QLD;4655;AU;61-7-41241999;;;-2.528091;15.284342;SABRE_GDS
